dimension,segment,is_other,segments_pooled,users_in_segment,horizon_days,denominator,retained,rate_pct_value,rate_pct_display,wilson_lo_pct_value,wilson_lo_pct_display,wilson_hi_pct_value,wilson_hi_pct_display,wilson_half_width_pp_display,status,caveat,note
device.language,Other,true,124,940,30,623,11,1.7656500803,1.77,0.9887185465,0.99,3.1337686402,3.13,1.07,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
geo.country,United States,false,,1495,1,1495,349,23.3444816054,23.34,21.2701301743,21.27,25.5554666685,25.56,2.14,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
geo.country,United States,false,,1495,7,1394,98,7.0301291248,7.03,5.8028168087,5.80,8.4936155628,8.49,1.35,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
geo.country,United States,false,,1495,30,1128,33,2.9255319149,2.93,2.0906158461,2.09,4.0799885505,4.08,0.99,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
geo.country,India,false,,755,1,755,162,21.4569536424,21.46,18.6770162462,18.68,24.5258761380,24.53,2.92,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
geo.country,India,false,,755,7,713,28,3.9270687237,3.93,2.7307836555,2.73,5.6171513145,5.62,1.44,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
geo.country,India,false,,755,30,539,9,1.6697588126,1.67,0.8809045205,0.88,3.1426383511,3.14,1.13,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
geo.country,Japan,false,,201,1,201,53,26.3681592040,26.37,20.7609905793,20.76,32.8616790956,32.86,6.05,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
geo.country,Japan,false,,201,7,184,17,9.2391304348,9.24,5.8485331939,5.85,14.2968910688,14.30,4.22,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
geo.country,Japan,false,,201,30,116,3,2.5862068966,2.59,0.8833887872,0.88,7.3286764843,7.33,3.22,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
geo.country,Canada,false,,149,1,149,28,18.7919463087,18.79,13.3336754167,13.33,25.8189597927,25.82,6.24,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
geo.country,Canada,false,,149,7,138,10,7.2463768116,7.25,3.9834286944,3.98,12.8250975425,12.83,4.42,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
geo.country,Canada,false,,149,30,104,0,0.0000000000,0.00,0.0000000000,0.00,3.5621354372,3.56,1.78,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
geo.country,Australia,false,,145,1,145,32,22.0689655172,22.07,16.0885285054,16.09,29.4911502738,29.49,6.70,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
geo.country,Australia,false,,145,7,138,11,7.9710144928,7.97,4.5089941367,4.51,13.7095570793,13.71,4.60,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
geo.country,Australia,false,,145,30,84,0,0.0000000000,0.00,0.0000000000,0.00,4.3731728415,4.37,2.19,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
geo.country,Other,true,110,1446,1,1446,287,19.8478561549,19.85,17.8731299608,17.87,21.9823628798,21.98,2.05,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
geo.country,Other,true,110,1446,7,1346,58,4.3090638930,4.31,3.3480554948,3.35,5.5301322388,5.53,1.09,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
geo.country,Other,true,110,1446,30,992,17,1.7137096774,1.71,1.0726716463,1.07,2.7272764765,2.73,0.83,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
platform,ANDROID,false,,2799,1,2799,643,22.9724901751,22.97,21.4517798939,21.45,24.5672860351,24.57,1.56,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
platform,ANDROID,false,,2799,7,2629,154,5.8577405858,5.86,5.0228359120,5.02,6.8214571721,6.82,0.90,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
platform,ANDROID,false,,2799,30,2160,44,2.0370370370,2.04,1.5209218361,1.52,2.7234491388,2.72,0.60,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
platform,IOS,false,,1392,1,1392,268,19.2528735632,19.25,17.2673292651,17.27,21.4076545885,21.41,2.07,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
platform,IOS,false,,1392,7,1284,68,5.2959501558,5.30,4.1989177186,4.20,6.6596749958,6.66,1.23,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
platform,IOS,false,,1392,30,803,18,2.2415940224,2.24,1.4225417244,1.42,3.5154121184,3.52,1.05,reported,,"classic retention, pooled cohorts only (§10.7.5); floor of 100 users applied once on the pooled install population (A-140)"
