dimension,segment,is_other,segments_pooled,users_s0,step,users_strict,users_raw,share_of_s0_numerator,share_of_s0_denominator,share_of_s0_pct_value,share_of_s0_pct_display,share_of_s0_lo_display,share_of_s0_hi_display,share_of_s0_status,step_conversion_numerator,step_conversion_denominator,step_conversion_pct_value,step_conversion_pct_display,step_conversion_lo_display,step_conversion_hi_display,step_conversion_status,caveat,attribution_means,note
app_info.version,2.6.31,false,,2680,S3,1263,1265,1263,2680,47.1268656716,47.13,45.24,49.02,reported,1263,1784,70.7959641256,70.80,68.64,72.86,reported,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,2.6.27,false,,802,S0,802,802,802,802,100.0000000000,100.00,99.52,100.00,reported,,,,NULL,NULL,NULL,not_applicable,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,2.6.27,false,,802,S1,632,632,632,802,78.8029925187,78.80,75.84,81.49,reported,632,802,78.8029925187,78.80,75.84,81.49,reported,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,2.6.27,false,,802,S2,546,546,546,802,68.0798004988,68.08,64.77,71.21,reported,546,632,86.3924050633,86.39,83.50,88.85,reported,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,2.6.27,false,,802,S3,403,403,403,802,50.2493765586,50.25,46.80,53.70,reported,403,546,73.8095238095,73.81,69.96,77.32,reported,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,2.59,false,,412,S0,412,412,412,412,100.0000000000,100.00,99.08,100.00,reported,,,,NULL,NULL,NULL,not_applicable,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,2.59,false,,412,S1,80,80,80,412,19.4174757282,19.42,15.89,23.51,reported,80,412,19.4174757282,19.42,15.89,23.51,reported,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,2.59,false,,412,S2,64,65,64,412,15.5339805825,15.53,12.36,19.35,reported,64,80,80.0000000000,80.00,69.95,87.30,reported,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,2.59,false,,412,S3,54,54,54,412,13.1067961165,13.11,10.19,16.71,reported,54,64,84.3750000000,84.38,73.57,91.29,reported,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,Other,true,29,1235,S0,1235,1235,1235,1235,100.0000000000,100.00,99.69,100.00,reported,,,,NULL,NULL,NULL,not_applicable,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,Other,true,29,1235,S1,799,799,799,1235,64.6963562753,64.70,61.99,67.31,reported,799,1235,64.6963562753,64.70,61.99,67.31,reported,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,Other,true,29,1235,S2,631,632,631,1235,51.0931174089,51.09,48.31,53.87,reported,631,799,78.9737171464,78.97,76.01,81.66,reported,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
app_info.version,Other,true,29,1235,S3,459,459,459,1235,37.1659919028,37.17,34.51,39.90,reported,459,631,72.7416798732,72.74,69.14,76.07,reported,non-constant for caveated share of users; see part2_08_segment_constancy.csv,version at install,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.category,mobile,false,,11774,S0,11774,11774,11774,11774,100.0000000000,100.00,99.97,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,device category at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.category,mobile,false,,11774,S1,7404,7404,7404,11774,62.8843213861,62.88,62.01,63.75,reported,7404,11774,62.8843213861,62.88,62.01,63.75,reported,,device category at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.category,mobile,false,,11774,S2,5875,5895,5875,11774,49.8980805164,49.90,49.00,50.80,reported,5875,7404,79.3490005402,79.35,78.41,80.26,reported,,device category at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.category,mobile,false,,11774,S3,4029,4032,4029,11774,34.2194666214,34.22,33.37,35.08,reported,4029,5875,68.5787234043,68.58,67.38,69.75,reported,,device category at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.category,tablet,false,,3401,S0,3401,3401,3401,3401,100.0000000000,100.00,99.89,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,device category at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.category,tablet,false,,3401,S1,2762,2762,2762,3401,81.2114084093,81.21,79.86,82.49,reported,2762,3401,81.2114084093,81.21,79.86,82.49,reported,,device category at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.category,tablet,false,,3401,S2,2270,2273,2270,3401,66.7450749779,66.75,65.14,68.31,reported,2270,2762,82.1868211441,82.19,80.72,83.57,reported,,device category at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.category,tablet,false,,3401,S3,1643,1644,1643,3401,48.3093207880,48.31,46.63,49.99,reported,1643,2270,72.3788546256,72.38,70.50,74.18,reported,,device category at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en-us,false,,8936,S0,8936,8936,8936,8936,100.0000000000,100.00,99.96,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en-us,false,,8936,S1,6000,6000,6000,8936,67.1441360788,67.14,66.16,68.11,reported,6000,8936,67.1441360788,67.14,66.16,68.11,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en-us,false,,8936,S2,4965,4985,4965,8936,55.5617726052,55.56,54.53,56.59,reported,4965,6000,82.7500000000,82.75,81.77,83.68,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en-us,false,,8936,S3,3523,3527,3523,8936,39.4247985676,39.42,38.42,40.44,reported,3523,4965,70.9566968781,70.96,69.68,72.20,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en-gb,false,,1353,S0,1353,1353,1353,1353,100.0000000000,100.00,99.72,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en-gb,false,,1353,S1,834,834,834,1353,61.6407982262,61.64,59.02,64.20,reported,834,1353,61.6407982262,61.64,59.02,64.20,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en-gb,false,,1353,S2,601,601,601,1353,44.4198078344,44.42,41.79,47.08,reported,601,834,72.0623501199,72.06,68.92,75.00,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en-gb,false,,1353,S3,396,396,396,1353,29.2682926829,29.27,26.91,31.75,reported,396,601,65.8901830283,65.89,62.01,69.57,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,ja-jp,false,,743,S0,743,743,743,743,100.0000000000,100.00,99.49,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,ja-jp,false,,743,S1,553,553,553,743,74.4279946164,74.43,71.17,77.43,reported,553,743,74.4279946164,74.43,71.17,77.43,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,ja-jp,false,,743,S2,462,462,462,743,62.1803499327,62.18,58.64,65.60,reported,462,553,83.5443037975,83.54,80.22,86.40,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,ja-jp,false,,743,S3,359,359,359,743,48.3176312248,48.32,44.74,51.91,reported,359,462,77.7056277056,77.71,73.69,81.26,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en-ca,false,,561,S0,561,561,561,561,100.0000000000,100.00,99.32,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en-ca,false,,561,S1,387,387,387,561,68.9839572193,68.98,65.04,72.67,reported,387,561,68.9839572193,68.98,65.04,72.67,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en-ca,false,,561,S2,323,323,323,561,57.5757575758,57.58,53.45,61.60,reported,323,387,83.4625322997,83.46,79.44,86.83,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en-ca,false,,561,S3,215,215,215,561,38.3244206774,38.32,34.39,42.41,reported,215,323,66.5634674923,66.56,61.25,71.49,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en-au,false,,536,S0,536,536,536,536,100.0000000000,100.00,99.29,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en-au,false,,536,S1,406,406,406,536,75.7462686567,75.75,71.94,79.18,reported,406,536,75.7462686567,75.75,71.94,79.18,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en-au,false,,536,S2,327,328,327,536,61.0074626866,61.01,56.81,65.04,reported,327,406,80.5418719212,80.54,76.41,84.10,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en-au,false,,536,S3,213,213,213,536,39.7388059701,39.74,35.68,43.94,reported,213,327,65.1376146789,65.14,59.82,70.10,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,de-de,false,,283,S0,283,283,283,283,100.0000000000,100.00,98.66,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,de-de,false,,283,S1,197,197,197,283,69.6113074205,69.61,64.02,74.68,reported,197,283,69.6113074205,69.61,64.02,74.68,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,de-de,false,,283,S2,166,166,166,283,58.6572438163,58.66,52.84,64.24,reported,166,197,84.2639593909,84.26,78.53,88.69,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,de-de,false,,283,S3,149,149,149,283,52.6501766784,52.65,46.84,58.39,reported,149,166,89.7590361446,89.76,84.21,93.51,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en-in,false,,264,S0,264,264,264,264,100.0000000000,100.00,98.57,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en-in,false,,264,S1,154,154,154,264,58.3333333333,58.33,52.31,64.12,reported,154,264,58.3333333333,58.33,52.31,64.12,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en-in,false,,264,S2,93,94,93,264,35.2272727273,35.23,29.71,41.16,reported,93,154,60.3896103896,60.39,52.50,67.77,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en-in,false,,264,S3,46,46,46,264,17.4242424242,17.42,13.32,22.46,reported,46,93,49.4623655914,49.46,39.53,59.44,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en,false,,255,S0,255,255,255,255,100.0000000000,100.00,98.52,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en,false,,255,S1,203,203,203,255,79.6078431373,79.61,74.24,84.10,reported,203,255,79.6078431373,79.61,74.24,84.10,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en,false,,255,S2,167,167,167,255,65.4901960784,65.49,59.46,71.06,reported,167,203,82.2660098522,82.27,76.43,86.91,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,en,false,,255,S3,107,107,107,255,41.9607843137,41.96,36.07,48.09,reported,107,167,64.0718562874,64.07,56.55,70.96,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,Other,true,220,2244,S0,2244,2244,2244,2244,100.0000000000,100.00,99.83,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,Other,true,220,2244,S1,1432,1432,1432,2244,63.8146167558,63.81,61.80,65.78,reported,1432,2244,63.8146167558,63.81,61.80,65.78,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,Other,true,220,2244,S2,1041,1042,1041,2244,46.3903743316,46.39,44.33,48.46,reported,1041,1432,72.6955307263,72.70,70.33,74.94,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
device.language,Other,true,220,2244,S3,664,664,664,2244,29.5900178253,29.59,27.74,31.51,reported,664,1041,63.7848222863,63.78,60.82,66.65,reported,,language at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,United States,false,,8084,S0,8084,8084,8084,8084,100.0000000000,100.00,99.95,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,United States,false,,8084,S1,5553,5553,5553,8084,68.6912419594,68.69,67.67,69.69,reported,5553,8084,68.6912419594,68.69,67.67,69.69,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,United States,false,,8084,S2,4720,4735,4720,8084,58.3869371598,58.39,57.31,59.46,reported,4720,5553,84.9990995858,85.00,84.04,85.91,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,United States,false,,8084,S3,3385,3388,3385,8084,41.8728352301,41.87,40.80,42.95,reported,3385,4720,71.7161016949,71.72,70.41,72.98,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,India,false,,1067,S0,1067,1067,1067,1067,100.0000000000,100.00,99.64,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,India,false,,1067,S1,598,598,598,1067,56.0449859419,56.04,53.05,59.00,reported,598,1067,56.0449859419,56.04,53.05,59.00,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,India,false,,1067,S2,313,315,313,1067,29.3345829428,29.33,26.68,32.14,reported,313,598,52.3411371237,52.34,48.34,56.32,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,India,false,,1067,S3,138,138,138,1067,12.9334582943,12.93,11.05,15.08,reported,138,313,44.0894568690,44.09,38.69,49.63,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Japan,false,,798,S0,798,798,798,798,100.0000000000,100.00,99.52,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Japan,false,,798,S1,593,593,593,798,74.3107769424,74.31,71.17,77.22,reported,593,798,74.3107769424,74.31,71.17,77.22,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Japan,false,,798,S2,489,489,489,798,61.2781954887,61.28,57.85,64.60,reported,489,593,82.4620573356,82.46,79.20,85.31,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Japan,false,,798,S3,378,378,378,798,47.3684210526,47.37,43.93,50.84,reported,378,489,77.3006134969,77.30,73.38,80.79,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Canada,false,,682,S0,682,682,682,682,100.0000000000,100.00,99.44,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Canada,false,,682,S1,475,475,475,682,69.6480938416,69.65,66.10,72.98,reported,475,682,69.6480938416,69.65,66.10,72.98,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Canada,false,,682,S2,395,395,395,682,57.9178885630,57.92,54.18,61.57,reported,395,475,83.1578947368,83.16,79.53,86.25,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Canada,false,,682,S3,267,267,267,682,39.1495601173,39.15,35.56,42.86,reported,267,395,67.5949367089,67.59,62.83,72.02,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,United Kingdom,false,,564,S0,564,564,564,564,100.0000000000,100.00,99.32,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,United Kingdom,false,,564,S1,391,391,391,564,69.3262411348,69.33,65.40,72.99,reported,391,564,69.3262411348,69.33,65.40,72.99,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,United Kingdom,false,,564,S2,348,348,348,564,61.7021276596,61.70,57.62,65.62,reported,348,391,89.0025575448,89.00,85.51,91.73,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,United Kingdom,false,,564,S3,258,258,258,564,45.7446808511,45.74,41.68,49.87,reported,258,348,74.1379310345,74.14,69.29,78.46,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Australia,false,,562,S0,562,562,562,562,100.0000000000,100.00,99.32,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Australia,false,,562,S1,428,428,428,562,76.1565836299,76.16,72.46,79.49,reported,428,562,76.1565836299,76.16,72.46,79.49,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Australia,false,,562,S2,354,356,354,562,62.9893238434,62.99,58.92,66.88,reported,354,428,82.7102803738,82.71,78.84,86.00,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Australia,false,,562,S3,236,237,236,562,41.9928825623,41.99,37.98,46.11,reported,236,354,66.6666666667,66.67,61.60,71.38,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Germany,false,,291,S0,291,291,291,291,100.0000000000,100.00,98.70,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Germany,false,,291,S1,198,198,198,291,68.0412371134,68.04,62.48,73.13,reported,198,291,68.0412371134,68.04,62.48,73.13,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Germany,false,,291,S2,166,166,166,291,57.0446735395,57.04,51.30,62.60,reported,166,198,83.8383838384,83.84,78.08,88.31,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Germany,false,,291,S3,145,145,145,291,49.8281786942,49.83,44.12,55.54,reported,145,166,87.3493975904,87.35,81.43,91.57,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Mexico,false,,208,S0,208,208,208,208,100.0000000000,100.00,98.19,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Mexico,false,,208,S1,124,124,124,208,59.6153846154,59.62,52.83,66.05,reported,124,208,59.6153846154,59.62,52.83,66.05,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Mexico,false,,208,S2,97,98,97,208,46.6346153846,46.63,39.98,53.41,reported,97,124,78.2258064516,78.23,70.17,84.58,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Mexico,false,,208,S3,60,60,60,208,28.8461538462,28.85,23.12,35.34,reported,60,97,61.8556701031,61.86,51.91,70.90,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Other,true,142,2919,S0,2919,2919,2919,2919,100.0000000000,100.00,99.87,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
