figure_id,kind,value_display,value_num,unit,definition,source_tables,source_cells
le_outcome_without_end,quoted,1,1,count,Users with an outcome event but no level_end_quickplay,part2_07_level_end_reconciliation.csv,part2_07_level_end_reconciliation.csv:value:level=user&metric=users with an outcome but no level_end_quickplay
le_reading1_pct,quoted,2.47%,2.47,pct,"A-164's directed reading, tested against §10.6.5's 1.0% trigger",part2_07_level_end_reconciliation.csv,part2_07_level_end_reconciliation.csv:pct_display:level=user&metric=shortfall: users with S2 and neither outcome
le_reading2_pct,quoted,47.15%,47.15,pct,"A-164 reading 2: an excess, not a shortfall",part2_07_level_end_reconciliation.csv,part2_07_level_end_reconciliation.csv:pct_display:level=user&metric=arithmetic parallel: (complete + fail - end) / end
le_reading3_pct,quoted,2.54%,2.54,pct,A-164 reading 3: reading 1's numerator over the outcome union,part2_07_level_end_reconciliation.csv,part2_07_level_end_reconciliation.csv:pct_display:level=user&metric=shortfall over the outcome union
le_users_both,quoted,"4,052",4052,count,Users holding both a complete and a fail: the users the arithmetic parallel double-counts,part2_07_level_end_reconciliation.csv,part2_07_level_end_reconciliation.csv:value:level=user&metric=users with BOTH outcomes
le_users_complete,quoted,"5,676",5676,count,Users with at least one level_complete_quickplay event,part2_07_level_end_reconciliation.csv,part2_07_level_end_reconciliation.csv:value:level=user&metric=users with level_complete_quickplay
le_users_end,quoted,"8,168",8168,count,Users with at least one level_end_quickplay event,part2_07_level_end_reconciliation.csv,part2_07_level_end_reconciliation.csv:value:level=user&metric=users with level_end_quickplay (S2)
le_users_fail,quoted,"6,343",6343,count,Users with at least one level_fail_quickplay event,part2_07_level_end_reconciliation.csv,part2_07_level_end_reconciliation.csv:value:level=user&metric=users with level_fail_quickplay
le_users_shortfall,quoted,202,202,count,A-164 reading 1's numerator: users with S2 and neither outcome,part2_07_level_end_reconciliation.csv,part2_07_level_end_reconciliation.csv:value:level=user&metric=shortfall: users with S2 and neither outcome
le_users_union,quoted,"7,967",7967,count,Users with at least one outcome event of either kind,part2_07_level_end_reconciliation.csv,part2_07_level_end_reconciliation.csv:value:level=user&metric=users with either outcome (union)
ledger_largest_gib,derived,0.53 GiB,0.5322265625,gib,"The largest single Part 2 query, against §10.1's 4 GiB per-query ceiling",part2_budget_ledger.csv,part2_budget_ledger.csv:bytes_billed:|max
ledger_max_delta,derived,0,0,count,"The largest absolute miss of A-126's billing prediction across Part 2's queries, against a 1 MiB halt band",part2_budget_ledger.csv,part2_budget_ledger.csv:prediction_delta_bytes:|max;part2_budget_ledger.csv:prediction_delta_bytes:|min
ledger_pair_gib,derived,5.97 GiB,5.9736328125,gib,"Bytes billed by both build sessions together, against §10.1's 40 GiB pair ceiling",part1_budget_ledger.csv;part2_budget_ledger.csv,part2_budget_ledger.csv:bytes_billed:|sum;part1_budget_ledger.csv:bytes_billed:|sum
ledger_queries,derived,4,4,count,"Query jobs Part 2 executed, re-runs included",part2_budget_ledger.csv,part2_budget_ledger.csv:seq:|count
ledger_share_of_session,derived,8.43%,8.427734375,pct,Part 2's spend as a share of §10.1's 20 GiB per-session ceiling,part2_budget_ledger.csv,part2_budget_ledger.csv:bytes_billed:|sum
ledger_total_gib,derived,1.69 GiB,1.685546875,gib,"Bytes billed across every Part 2 query, in GiB",part2_budget_ledger.csv,part2_budget_ledger.csv:bytes_billed:|sum
matrix_patterns,derived,19,19,count,"Distinct progression patterns actually observed, of the 32 the five flags allow",part2_05_progression_matrix.csv,part2_05_progression_matrix.csv:users:|count
ooo_s2_without_s1,quoted,23,23,count,Users matching the out-of-order pattern s2_without_s1,part2_04_out_of_order.csv,part2_04_out_of_order.csv:users:violation=s2_without_s1
ooo_s2_without_s1_pct,quoted,0.28%,0.28,pct,s2_without_s1 as a share of the step's own raw population (A-170),part2_04_out_of_order.csv,part2_04_out_of_order.csv:share_of_raw_pct_display:violation=s2_without_s1
ooo_s3_without_s1,quoted,4,4,count,Users matching the out-of-order pattern s3_without_s1,part2_04_out_of_order.csv,part2_04_out_of_order.csv:users:violation=s3_without_s1
ooo_s3_without_s1_pct,quoted,0.07%,0.07,pct,s3_without_s1 as a share of the step's own raw population (A-170),part2_04_out_of_order.csv,part2_04_out_of_order.csv:share_of_raw_pct_display:violation=s3_without_s1
ooo_s3_without_s2,quoted,0,0,count,Users matching the out-of-order pattern s3_without_s2,part2_04_out_of_order.csv,part2_04_out_of_order.csv:users:violation=s3_without_s2
ooo_s3_without_s2_pct,quoted,0.00%,0,pct,s3_without_s2 as a share of the step's own raw population (A-170),part2_04_out_of_order.csv,part2_04_out_of_order.csv:share_of_raw_pct_display:violation=s3_without_s2
part1_app_version_constancy,quoted,1.97%,1.968,pct,"Part 1's app_info.version non-constant share, on its 4,319-user install population",part1_08_data_handling.csv,part1_08_data_handling.csv:value:section=app_info_version_constancy&metric=share_non_constant_part1_pct
pop_excluded,quoted,0,0,count,Users in the sample who are not in S0,part2_01_population_reconciliation.csv,part2_01_population_reconciliation.csv:users:metric=users excluded from the funnel population
pop_users,quoted,"15,175",15175,count,Every distinct user_pseudo_id with at least one event in the window: §10.6.2's funnel population,part2_01_population_reconciliation.csv,part2_01_population_reconciliation.csv:users:metric=distinct users with at least one event in the window
pop_with_first_open,quoted,"4,319",4319,count,"Users with a first_open event: Part 1's population, which Part 2 does not restrict to",part2_01_population_reconciliation.csv,"part2_01_population_reconciliation.csv:users:metric=of those, users with a first_open event"
pop_without_first_open,quoted,"10,856",10856,count,Users with events but no first_open in the window,part2_01_population_reconciliation.csv,"part2_01_population_reconciliation.csv:users:metric=of those, users with no first_open event"
pop_without_first_open_pct,derived,71.54%,71.5387149918,pct,"Share of the funnel population with no first_open event: Part 1's exclusion, which Part 2 keeps",part2_01_population_reconciliation.csv,"part2_01_population_reconciliation.csv:users:metric=of those, users with no first_open event;part2_01_population_reconciliation.csv:users:metric=distinct users with at least one event in the window"
quickplay_property_undercount_ratio,derived,2.9×,2.865276212,ratio,How far the plays_quickplay user property falls below the observed count of users with a level_start_quickplay event,part2_03_funnel.csv;part2_10_parallel_track.csv,part2_03_funnel.csv:users_strict:step=S1;part2_10_parallel_track.csv:users:metric=users with the plays_quickplay user property
rescope_coverage_factor,derived,2.8×,2.8101851852,ratio,How far short of §10.3's 0.5% coverage threshold the observed share falls,part2_01_population_reconciliation.csv;part2_02_data_handling.csv,part2_02_data_handling.csv:value:section=rescope&metric=distinct users with such an event;part2_01_population_reconciliation.csv:users:metric=distinct users with at least one event in the window
rescope_coverage_pct,derived,0.178%,0.1779242175,pct3,"Payer coverage of the 15,175-user denominator, against §10.3's 0.5% bar",part2_01_population_reconciliation.csv;part2_02_data_handling.csv,part2_02_data_handling.csv:value:section=rescope&metric=distinct users with such an event;part2_01_population_reconciliation.csv:users:metric=distinct users with at least one event in the window
rescope_event_factor,derived,37×,37.037037037,ratio0,"How far short of §10.3's 1,000-event threshold the observed count falls",part2_02_data_handling.csv,part2_02_data_handling.csv:value:section=rescope&metric=revenue-positive purchase events
rescope_events,quoted,27,27,count,"Revenue-positive purchase events, quoted from the recon and never recounted",part2_02_data_handling.csv,part2_02_data_handling.csv:value:section=rescope&metric=revenue-positive purchase events
rescope_shards_without_usd,quoted,15,15,count,Shards on which event_value_in_usd does not exist as a column,part2_02_data_handling.csv,part2_02_data_handling.csv:value:section=rescope&metric=shards with no event_value_in_usd column
rescope_usd_events,quoted,24,24,count,"Purchase events carrying a positive event_value_in_usd, the narrower carrier",part2_02_data_handling.csv,part2_02_data_handling.csv:value:section=rescope&metric=events with a positive event_value_in_usd
rescope_users,quoted,27,27,count,Distinct users with a revenue-positive purchase event,part2_02_data_handling.csv,part2_02_data_handling.csv:value:section=rescope&metric=distinct users with such an event
rows_deduped,quoted,"5,699,793",5699793,count,"Distinct (user_pseudo_id, event_name, event_timestamp) triples",part2_01_population_reconciliation.csv,part2_01_population_reconciliation.csv:users:metric=event rows after §10.7.4 de-duplication
rows_raw,quoted,"5,700,000",5700000,count,Event rows in the window before de-duplication,part2_01_population_reconciliation.csv,part2_01_population_reconciliation.csv:users:metric=raw event rows before §10.7.4 de-duplication
s0_raw,quoted,"15,175",15175,count,S0 raw users: holders of S0 regardless of the earlier steps,part2_03_funnel.csv,part2_03_funnel.csv:users_raw:step=S0
s0_share_of_s0,quoted,100.00%,100,pct,S0 strict users as a share of S0,part2_03_funnel.csv,part2_03_funnel.csv:share_of_s0_pct_display:step=S0
s0_strict,quoted,"15,175",15175,count,S0 strict cumulative users: holders of all of S0..S0,part2_03_funnel.csv,part2_03_funnel.csv:users_strict:step=S0
s1_raw,quoted,"10,166",10166,count,S1 raw users: holders of S1 regardless of the earlier steps,part2_03_funnel.csv,part2_03_funnel.csv:users_raw:step=S1
s1_share_hi,quoted,67.74%,67.74,pct,95% Wilson upper bound on S1's share of S0,part2_03_funnel.csv,part2_03_funnel.csv:share_of_s0_hi_display:step=S1
s1_share_lo,quoted,66.24%,66.24,pct,95% Wilson lower bound on S1's share of S0,part2_03_funnel.csv,part2_03_funnel.csv:share_of_s0_lo_display:step=S1
s1_share_of_s0,quoted,66.99%,66.99,pct,S1 strict users as a share of S0,part2_03_funnel.csv,part2_03_funnel.csv:share_of_s0_pct_display:step=S1
s1_strict,quoted,"10,166",10166,count,S1 strict cumulative users: holders of all of S0..S1,part2_03_funnel.csv,part2_03_funnel.csv:users_strict:step=S1
s2_conversion,quoted,80.12%,80.12,pct,Step-to-step conversion into S2 from the previous strict population,part2_03_funnel.csv,part2_03_funnel.csv:step_conversion_pct_display:step=S2
s2_conversion_hi,quoted,80.88%,80.88,pct,95% Wilson upper bound on the conversion into S2,part2_03_funnel.csv,part2_03_funnel.csv:step_conversion_hi_display:step=S2
s2_conversion_lo,quoted,79.33%,79.33,pct,95% Wilson lower bound on the conversion into S2,part2_03_funnel.csv,part2_03_funnel.csv:step_conversion_lo_display:step=S2
s2_raw,quoted,"8,168",8168,count,S2 raw users: holders of S2 regardless of the earlier steps,part2_03_funnel.csv,part2_03_funnel.csv:users_raw:step=S2
s2_share_hi,quoted,54.47%,54.47,pct,95% Wilson upper bound on S2's share of S0,part2_03_funnel.csv,part2_03_funnel.csv:share_of_s0_hi_display:step=S2
s2_share_lo,quoted,52.88%,52.88,pct,95% Wilson lower bound on S2's share of S0,part2_03_funnel.csv,part2_03_funnel.csv:share_of_s0_lo_display:step=S2
s2_share_of_s0,quoted,53.67%,53.67,pct,S2 strict users as a share of S0,part2_03_funnel.csv,part2_03_funnel.csv:share_of_s0_pct_display:step=S2
s2_strict,quoted,"8,145",8145,count,S2 strict cumulative users: holders of all of S0..S2,part2_03_funnel.csv,part2_03_funnel.csv:users_strict:step=S2
s3_conversion,quoted,69.64%,69.64,pct,Step-to-step conversion into S3 from the previous strict population,part2_03_funnel.csv,part2_03_funnel.csv:step_conversion_pct_display:step=S3
s3_conversion_hi,quoted,70.63%,70.63,pct,95% Wilson upper bound on the conversion into S3,part2_03_funnel.csv,part2_03_funnel.csv:step_conversion_hi_display:step=S3
s3_conversion_lo,quoted,68.63%,68.63,pct,95% Wilson lower bound on the conversion into S3,part2_03_funnel.csv,part2_03_funnel.csv:step_conversion_lo_display:step=S3
s3_raw,quoted,"5,676",5676,count,S3 raw users: holders of S3 regardless of the earlier steps,part2_03_funnel.csv,part2_03_funnel.csv:users_raw:step=S3
s3_share_hi,quoted,38.15%,38.15,pct,95% Wilson upper bound on S3's share of S0,part2_03_funnel.csv,part2_03_funnel.csv:share_of_s0_hi_display:step=S3
s3_share_lo,quoted,36.61%,36.61,pct,95% Wilson lower bound on S3's share of S0,part2_03_funnel.csv,part2_03_funnel.csv:share_of_s0_lo_display:step=S3
s3_share_of_s0,quoted,37.38%,37.38,pct,S3 strict users as a share of S0,part2_03_funnel.csv,part2_03_funnel.csv:share_of_s0_pct_display:step=S3
s3_strict,quoted,"5,672",5672,count,S3 strict cumulative users: holders of all of S0..S3,part2_03_funnel.csv,part2_03_funnel.csv:users_strict:step=S3
seg_app_info_version_named,derived,5,5,count,Segments of app_info.version named individually at the 200-user floor,part2_09_funnel_by_segment.csv,part2_09_funnel_by_segment.csv:users_s0:dimension=app_info.version&step=S0&is_other=false|count
seg_app_info_version_other_users,derived,"1,235",1235,count,Users in the Other row for app_info.version,part2_09_funnel_by_segment.csv,part2_09_funnel_by_segment.csv:users_s0:dimension=app_info.version&segment=Other&step=S0
seg_app_info_version_pooled,derived,29,29,count,Segments of app_info.version pooled into the Other row,part2_09_funnel_by_segment.csv,part2_09_funnel_by_segment.csv:segments_pooled:dimension=app_info.version&segment=Other&step=S0
seg_device_category_named,derived,2,2,count,Segments of device.category named individually at the 200-user floor,part2_09_funnel_by_segment.csv,part2_09_funnel_by_segment.csv:users_s0:dimension=device.category&step=S0&is_other=false|count
seg_device_language_named,derived,8,8,count,Segments of device.language named individually at the 200-user floor,part2_09_funnel_by_segment.csv,part2_09_funnel_by_segment.csv:users_s0:dimension=device.language&step=S0&is_other=false|count
seg_device_language_other_users,derived,"2,244",2244,count,Users in the Other row for device.language,part2_09_funnel_by_segment.csv,part2_09_funnel_by_segment.csv:users_s0:dimension=device.language&segment=Other&step=S0
seg_device_language_pooled,derived,220,220,count,Segments of device.language pooled into the Other row,part2_09_funnel_by_segment.csv,part2_09_funnel_by_segment.csv:segments_pooled:dimension=device.language&segment=Other&step=S0
seg_geo_country_named,derived,8,8,count,Segments of geo.country named individually at the 200-user floor,part2_09_funnel_by_segment.csv,part2_09_funnel_by_segment.csv:users_s0:dimension=geo.country&step=S0&is_other=false|count
seg_geo_country_other_users,derived,"2,919",2919,count,Users in the Other row for geo.country,part2_09_funnel_by_segment.csv,part2_09_funnel_by_segment.csv:users_s0:dimension=geo.country&segment=Other&step=S0
seg_geo_country_pooled,derived,142,142,count,Segments of geo.country pooled into the Other row,part2_09_funnel_by_segment.csv,part2_09_funnel_by_segment.csv:segments_pooled:dimension=geo.country&segment=Other&step=S0
seg_platform_named,derived,2,2,count,Segments of platform named individually at the 200-user floor,part2_09_funnel_by_segment.csv,part2_09_funnel_by_segment.csv:users_s0:dimension=platform&step=S0&is_other=false|count
shard_count,derived,114,114,count,Daily shards in the window,recon_00_shard_inventory.csv,recon_00_shard_inventory.csv:value_num:row_kind=summary&key=shard_count
shard_rows,derived,"50,000",50000,count,"Rows in every shard: the minimum and the maximum are the same number, which is what makes it a sampling cap rather than traffic",recon_00_shard_inventory.csv,recon_00_shard_inventory.csv:value_num:row_kind=shard|min;recon_00_shard_inventory.csv:value_num:row_kind=shard|max
spend_events,quoted,"9,363",9363,count,"spend_virtual_currency events: a soft-currency sink, explicitly not revenue",part2_02_data_handling.csv,part2_02_data_handling.csv:value:section=rescope&metric=spend_virtual_currency events
spend_users,quoted,"2,044",2044,count,Users with at least one spend_virtual_currency event,part2_02_data_handling.csv,part2_02_data_handling.csv:value:section=rescope&metric=spend_virtual_currency users
strict_raw_gap_s2,derived,23,23,count,Users holding S2 but not every earlier step: the gap between the raw and strict counts,part2_03_funnel.csv,part2_03_funnel.csv:users_raw:step=S2;part2_03_funnel.csv:users_strict:step=S2
strict_raw_gap_s3,derived,4,4,count,Users holding S3 but not every earlier step: the gap between the raw and strict counts,part2_03_funnel.csv,part2_03_funnel.csv:users_raw:step=S3;part2_03_funnel.csv:users_strict:step=S3
track_both_modes,quoted,"2,819",2819,count,Users with a level start in both modes,part2_10_parallel_track.csv,part2_10_parallel_track.csv:users:metric=users active in BOTH modes
track_either_mode,quoted,"12,121",12121,count,Users who started a level in either mode,part2_10_parallel_track.csv,part2_10_parallel_track.csv:users:metric=users who started a level in EITHER mode
track_either_mode_pct,derived,79.87%,79.8747940692,pct,Share of the population that started a level in either mode,part2_01_population_reconciliation.csv;part2_10_parallel_track.csv,part2_10_parallel_track.csv:users:metric=users who started a level in EITHER mode;part2_01_population_reconciliation.csv:users:metric=distinct users with at least one event in the window
track_neither,quoted,"3,054",3054,count,Users for whom 'did not start a level' is unqualified,part2_10_parallel_track.csv,part2_10_parallel_track.csv:users:metric=users who started a level in NEITHER mode
track_np_users,quoted,"4,774",4774,count,All users with a non-quickplay level_start event,part2_10_parallel_track.csv,"part2_10_parallel_track.csv:users:metric=users with a non-quickplay level_start, all"
track_plays_progressive,quoted,"4,585",4585,count,Users carrying the plays_progressive user property,part2_10_parallel_track.csv,part2_10_parallel_track.csv:users:metric=users with the plays_progressive user property
track_plays_quickplay,quoted,"3,548",3548,count,Users carrying the plays_quickplay user property,part2_10_parallel_track.csv,part2_10_parallel_track.csv:users:metric=users with the plays_quickplay user property
track_share_of_outside_s1,derived,39.03%,39.0297464564,pct,Share of the users outside S1 who started a non-quickplay level,part2_10_parallel_track.csv,"part2_10_parallel_track.csv:users:metric=of those, users who started a NON-quickplay level;part2_10_parallel_track.csv:users:metric=users with no level_start_quickplay (outside S1)"
track_without_s1,quoted,"5,009",5009,count,Users the funnel counts as not having started a level,part2_10_parallel_track.csv,part2_10_parallel_track.csv:users:metric=users with no level_start_quickplay (outside S1)
track_without_s1_with_np,quoted,"1,955",1955,count,Users outside S1 who started a level in the non-quickplay mode,part2_10_parallel_track.csv,"part2_10_parallel_track.csv:users:metric=of those, users who started a NON-quickplay level"
traffic_medium_pct,quoted,99.78%,99.7848,pct,"Share of events in the top two buckets of traffic_source.medium, one a placeholder",part2_02_data_handling.csv,part2_02_data_handling.csv:value:section=traffic_source&metric=traffic_source.medium: top two buckets
traffic_name_pct,quoted,99.91%,99.9076,pct,"Share of events in the top two buckets of traffic_source.name, one a placeholder",part2_02_data_handling.csv,part2_02_data_handling.csv:value:section=traffic_source&metric=traffic_source.name: top two buckets
traffic_source_pct,quoted,99.39%,99.3853,pct,"Share of events in the top two buckets of traffic_source.source, one a placeholder",part2_02_data_handling.csv,part2_02_data_handling.csv:value:section=traffic_source&metric=traffic_source.source: top two buckets
